Name,Authors,Publication Info,Year,URL
"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI","AB Arrieta, N Díaz-Rodríguez, J Del Ser, A Bennetot…",Information fusion - Elsevier,2020,https://arxiv.org/pdf/1910.10045
Responsible artificial intelligence: how to develop and use AI in a responsible way,Unknown,Unknown,Unknown,https://autosec.se/wp-content/uploads/2019/11/risevolvo2019.pdf
Principles to practices for responsible AI: closing the gap,"D Schiff, B Rakova, A Ayesh, A Fanti…",arXiv preprint arXiv … - arxiv.org,2020,https://arxiv.org/pdf/2006.04707
Responsible AI by design in practice,"R Benjamins, A Barbado, D Sierra",arXiv preprint arXiv:1909.12838 - arxiv.org,2019,https://arxiv.org/pdf/1909.12838
Responsible AI,Unknown,Unknown,Unknown,
Introduction to Responsible AI,R Baeza-Yates,Proceedings of the 17th ACM International Conference … - dl.acm.org,2024,
"Socially responsible ai algorithms: Issues, purposes, and challenges","L Cheng, KR Varshney, H Liu",Journal of Artificial Intelligence Research - jair.org,2021,https://www.jair.org/index.php/jair/article/download/12814/26713/
Thinking responsibly about responsible AI and 'the dark side'of AI,"P Mikalef, K Conboy, JE Lundström…",European Journal of … - Taylor & Francis,2022,https://www.tandfonline.com/doi/pdf/10.1080/0960085X.2022.2026621
Characteristics and challenges in the industries towards responsible AI: a systematic literature review,"M Anagnostou, O Karvounidou, C Katritzidaki…",Ethics and Information … - Springer,2022,https://lists.ellak.gr/epistimoniki-epitropi-ellak/2023/08/pdf7UNUr8HtGf.pdf
Responsible AI—two frameworks for ethical design practice,"D Peters, K Vold, D Robinson…",IEEE Transactions on … - ieeexplore.ieee.org,2020,https://ieeexplore.ieee.org/iel7/8566059/8995808/09001063.pdf
The role and challenges of education for responsible AI,V Dignum,London Review of Education - discovery.ucl.ac.uk,2021,https://discovery.ucl.ac.uk/id/eprint/10121456/1/lre19010001.pdf
How different groups prioritize ethical values for responsible AI,"M Jakesch, Z Buçinca, S Amershi…",Proceedings of the 2022 … - dl.acm.org,2022,https://arxiv.org/pdf/2205.07722
Responsible AI for conservation,"OR Wearn, R Freeman, DMP Jacoby",Nature Machine Intelligence - nature.com,2019,https://discovery.ucl.ac.uk/id/eprint/10065664/3/Jacoby_Leeuw_Figure%201%20Participant%20Timeline.pdf
Responsible AI: a primer for the legal community,"I Golbin, AS Rao, A Hadjarian…",2020 IEEE international … - ieeexplore.ieee.org,2020,
Responsible AI: requirements and challenges,M Ghallab,AI Perspectives - Springer,2019,https://link.springer.com/article/10.1186/s42467-019-0003-z
Measurement as governance in and for responsible AI,AZ Jacobs,arXiv preprint arXiv:2109.05658 - arxiv.org,2021,https://arxiv.org/pdf/2109.05658
Toward an understanding of responsible artificial intelligence practices,"Y Wang, M Xiong, H Olya",Proceedings of the 53rd hawaii … - eprints.whiterose.ac.uk,2020,https://eprints.whiterose.ac.uk/162719/8/Toward%20an%20Understanding%20of%20Responsible%20Artificial%20Intelligence%20Practices.pdf
Human-centered approaches to fair and responsible AI,"MK Lee, N Grgić-Hlača, MC Tschantz, R Binns…",Extended Abstracts of … - dl.acm.org,2020,
The role of cooperation in responsible AI development,"A Askell, M Brundage, G Hadfield",arXiv preprint arXiv:1907.04534 - arxiv.org,2019,https://arxiv.org/pdf/1907.04534.pdf?source=post_page---------------------------
