Name,Authors,Publication Info,Year,URL
"Explainable AI: A brief survey on history, research areas, approaches and challenges","F Xu, H Uszkoreit, Y Du, W Fan, D Zhao…",… language processing and … - Springer,2019,https://www.researchgate.net/profile/Feiyu-Xu/publication/336131051_Explainable_AI_A_Brief_Survey_on_History_Research_Areas_Approaches_and_Challenges/links/5e2b496f92851c3aadd7bf08/Explainable-AI-A-Brief-Survey-on-History-Research-Areas-Approaches-and-Challenges.pdf
Metrics for explainable AI: Challenges and prospects,"RR Hoffman, ST Mueller, G Klein, J Litman",arXiv preprint arXiv … - arxiv.org,2018,https://arxiv.org/pdf/1812.04608
Explainable AI: the new 42?,"R Goebel, A Chander, K Holzinger, F Lecue…",… -domain conference for … - Springer,2018,https://inria.hal.science/hal-01934928/file/cdMake18-XAI-Lecue-et-al.pdf
"Explainable AI (XAI): Core ideas, techniques, and solutions","R Dwivedi, D Dave, H Naik, S Singhal, R Omer…",ACM Computing … - dl.acm.org,2023,https://orca.cardiff.ac.uk/id/eprint/152361/1/3561048.pdf
Explainable AI in industry,"K Gade, SC Geyik, K Kenthapadi, V Mithal…",Proceedings of the 25th … - dl.acm.org,2019,
What does explainable AI really mean? A new conceptualization of perspectives,"D Doran, S Schulz, TR Besold",arXiv preprint arXiv:1710.00794 - arxiv.org,2017,https://arxiv.org/pdf/1710.00794.pdf)
Explainable AI methods-a brief overview,"A Holzinger, A Saranti, C Molnar, P Biecek…",… extending explainable AI … - Springer,2022,https://link.springer.com/content/pdf/10.1007/978-3-031-04083-2_2.pdf
From machine learning to explainable AI,A Holzinger,2018 world symposium on digital intelligence for … - ieeexplore.ieee.org,2018,https://graz.elsevierpure.com/files/21670850/HOLZINGER_2018_IEEE_DISA_08490530.pdf
What do we need to build explainable AI systems for the medical domain?,"A Holzinger, C Biemann, CS Pattichis…",arXiv preprint arXiv … - arxiv.org,2017,https://arxiv.org/pdf/1712.09923
Explainable AI: current status and future directions,"P Gohel, P Singh, M Mohanty",arXiv preprint arXiv:2107.07045 - arxiv.org,2021,https://arxiv.org/pdf/2107.07045
Survey of explainable AI techniques in healthcare,"A Chaddad, J Peng, J Xu, A Bouridane",Sensors - mdpi.com,2023,https://www.mdpi.com/1424-8220/23/2/634/pdf
From local explanations to global understanding with explainable AI for trees,"SM Lundberg, G Erion, H Chen, A DeGrave…",Nature machine … - nature.com,2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7326367/
Explaining explanation for “explainable AI”,"RR Hoffman, G Klein…",Proceedings of the human … - journals.sagepub.com,2018,https://www.researchgate.net/profile/Shane-Mueller-2/publication/327863780_Explaining_Explanation_For_Explainable_Ai/links/5bbe428e45851572315ebddc/Explaining-Explanation-For-Explainable-Ai.pdf
Can we do better explanations? A proposal of user-centered explainable AI,Unknown,Unknown,Unknown,https://openaccess.uoc.edu/bitstream/10609/99643/1/explainable_AI.pdf
Explainable AI (XAI): A systematic meta-survey of current challenges and future opportunities,"W Saeed, C Omlin",Knowledge-Based Systems - Elsevier,2023,https://www.sciencedirect.com/science/article/pii/S0950705123000230
Explainable artificial intelligence: an analytical review,"PP Angelov, EA Soares, R Jiang…",… : Data Mining and … - Wiley Online Library,2021,https://wires.onlinelibrary.wiley.com/doi/pdf/10.1002/widm.1424
Stakeholders in explainable AI,"A Preece, D Harborne, D Braines, R Tomsett…",arXiv preprint arXiv … - arxiv.org,2018,https://arxiv.org/pdf/1810.00184
Explainable ai: A review of machine learning interpretability methods,"P Linardatos, V Papastefanopoulos, S Kotsiantis",Entropy - mdpi.com,2020,https://www.mdpi.com/1099-4300/23/1/18/pdf
"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI","AB Arrieta, N Díaz-Rodríguez, J Del Ser, A Bennetot…",Information fusion - Elsevier,2020,https://arxiv.org/pdf/1910.10045
XAI—Explainable artificial intelligence,"D Gunning, M Stefik, J Choi, T Miller, S Stumpf…",Science robotics - science.org,2019,https://openaccess.city.ac.uk/id/eprint/23405/8/aay7120_article_nearly%20final.pdf
Towards trustable explainable AI,A Ignatiev,… Joint Conference on Artificial Intelligence-Pacific … - research.monash.edu,2020,https://research.monash.edu/files/326289433/321585627_oa.pdf
Towards explainable artificial intelligence,"W Samek, KR Müller","Explainable AI: interpreting, explaining and … - Springer",2019,https://arxiv.org/pdf/1909.12072
